x (m),y (m)
-6.123233995736766e-17,6.123233995736766e-17
0.06342391965656444,-0.06329622678687456
0.1265924535737492,-0.12557399359053953
0.18925124436041013,-0.1858312278301637
0.2511479871810791,-0.2430983680502343
0.312033445698487,-0.2964539645273202
0.3716624556603274,-0.3450395057410559
0.42979491208917164,-0.38807323214587836
0.48619673610046843,-0.424862714974757
0.5406408174555974,-0.4548159976772591
0.5929079290546402,-0.4774511207220369
0.6427876096865393,-0.492403876506104
0.6900790114821118,-0.49943366959150404
0.7345917086575333,-0.4984273879759712
0.776146464291757,-0.48940122310738937
0.8145759520503357,-0.47250040935733423
0.8497254299495143,-0.44799688714566804
0.8814533634475819,-0.4162849273173856
0.9096319953545183,-0.377874787177129
0.9341478602651067,-0.33338450025814587
0.9549022414440739,-0.2835299319313857
0.9718115683235418,-0.22911326086370534
0.984807753012208,-0.1710100716628343
0.993838464461254,-0.11015526639327046
0.9988673391830081,-0.04752802165209128
0.9998741276738752,0.015863966749034092
0.9968547759519423,0.07900069798667497
0.9898214418809327,0.14086627842071464
0.9788024462147787,0.2004652677033069
0.9638421585599422,0.25683869578670343
0.9450008187146686,0.30907949311030264
0.9223542941045814,0.35634708568943124
0.8959937742913358,0.39788092026541594
0.8660254037844385,0.43301270189221935
0.8325698546347715,0.4611771470522907
0.7957618405308322,0.48192107927997113
0.7557495743542585,0.49491072094046645
0.7126941713788629,0.49993706383693765
0.6667690005162917,0.4969192322306271
0.6181589862206055,0.48590578416177105
0.5670598638627712,0.46707393013255355
0.5136773915734063,0.4407266817237909
0.4582265217274105,0.40728797602516786
0.4009305354066133,0.36729585432876627
0.34202014332566855,0.3213938048432695
0.2817325568414297,0.27032040872779883
0.22031053278654092,0.21489745604458613
0.1580013959733504,0.156016722849244
0.09505604330418249,0.09462562218020493
0.03172793349806771,0.03171195982828232
-0.03172793349806824,-0.03171195982828284
-0.09505604330418302,-0.09462562218020543
-0.15800139597335003,-0.15601672284924364
-0.22031053278654053,-0.21489745604458574
-0.2817325568414294,-0.27032040872779856
-0.3420201433256682,-0.3213938048432693
-0.4009305354066138,-0.36729585432876666
-0.45822652172741024,-0.4072879760251677
-0.5136773915734066,-0.4407266817237911
-0.5670598638627709,-0.46707393013255344
-0.6181589862206051,-0.4859057841617708
-0.6667690005162914,-0.49691923223062706
-0.7126941713788626,-0.4999370638369376
-0.7557495743542579,-0.4949107209404665
-0.7957618405308322,-0.481921079279971
-0.8325698546347713,-0.46117714705229074
-0.8660254037844387,-0.433012701892219
-0.8959937742913358,-0.3978809202654159
-0.9223542941045813,-0.35634708568943146
-0.9450008187146683,-0.3090794931103029
-0.9638421585599423,-0.25683869578670293
-0.9788024462147787,-0.2004652677033068
-0.9898214418809326,-0.140866278420715
-0.9968547759519423,-0.07900069798667535
-0.9998741276738752,-0.01586396674903357
-0.9988673391830081,0.04752802165209136
-0.9938384644612539,0.11015526639327007
-0.984807753012208,0.17101007166283394
-0.9718115683235418,0.22911326086370543
-0.954902241444074,0.2835299319313854
-0.9341478602651068,0.33338450025814564
-0.909631995354518,0.37787478717712936
-0.8814533634475819,0.4162849273173857
-0.8497254299495144,0.4479968871456678
-0.814575952050336,0.4725004093573341
-0.7761464642917567,0.4894012231073895
-0.7345917086575333,0.4984273879759713
-0.6900790114821121,0.49943366959150415
-0.6427876096865396,0.4924038765061041
-0.5929079290546402,0.4774511207220369
-0.5406408174555974,0.4548159976772591
-0.4861967361004688,0.4248627149747572
-0.42979491208917203,0.3880732321458787
-0.37166245566032735,0.34503950574105585
-0.3120334456984872,0.2964539645273203
-0.2511479871810795,0.2430983680502347
-0.18925124436040983,0.18583122783016343
-0.12659245357374913,0.12557399359053945
-0.06342391965656458,0.0632962267868747
-3.061616997868383e-16,3.0616169978683826e-16
