current_x,current_y,v_lineal,w_lineal
-4.939447333568957e-05,0.00017595028155210332,0.15,2.6
-4.939791109262806e-05,0.00017597016836029623,0.15,2.6
-4.940124775327723e-05,0.00017598947030578462,0.15,2.6
-4.940458442791954e-05,0.00017600877229403345,0.15,2.6
-4.9408022228556586e-05,0.00017602865923574868,0.15,2.6
-4.941135893162668e-05,0.00017604796131084736,0.15,2.6
-4.941469564869426e-05,0.00017606726342871696,0.15,2.6
-4.94181334930394e-05,0.00017608715050398981,0.15,2.6
-0.0001326124195766016,0.00017351128291480614,0.15,2.6
-0.00029937819236365657,0.00016478545429827714,0.15,2.6
-0.0001649750244418404,0.0001652974052521282,0.15,2.6
0.0003447684583819388,0.00019747592903458837,0.15,2.6
0.0011275604256748783,0.0002784558707654487,0.15,2.6
0.002056436130925641,0.0004142760085319864,0.15,2.6
0.0029436852367925497,0.0005804481635693377,0.15,2.6
0.003908576029079547,0.0008027538848462059,0.15,2.6
0.0051231225290510815,0.001140318044821887,0.15,2.6
0.006612238454040272,0.0016325385644705497,0.15,2.6
0.008449858468918667,0.0023514113093645937,0.15,2.6
0.010689916242570511,0.003381943198025425,0.15,2.6
0.013117008814937827,0.004692737924248104,0.15,2.6
0.01565625808081669,0.006293942095192436,0.15,[2.08111113]
0.01821448204042879,0.008174629107430727,0.15,[1.27200911]
0.020649943561254547,0.010247341784938538,0.15,[0.52736251]
0.023103900839128968,0.012619102584639953,0.15,[-0.13001148]
0.025573172214933246,0.015289539952542234,0.15,[-0.71740862]
0.027898797742349896,0.01805543328069159,0.15,[-1.18607464]
0.030158288156676653,0.020959241474374342,0.15,[-1.53688914]
0.03244530357818567,0.024069967192804576,0.15,[-1.75864816]
0.03467494237300423,0.02719186704328878,0.15,[-1.82529039]
0.03697402078205753,0.030408637564083386,0.15,[-1.73558181]
0.03948102421635499,0.0338047737128061,0.15,[-1.47249147]
0.04210619657292395,0.03714324562234604,0.15,[-1.04944894]
0.044824724413190464,0.0403287145912347,0.15,[-0.62099731]
0.04783672430718258,0.04360219630624174,0.15,[-0.22365955]
0.05103545293025623,0.04684882669847376,0.15,[0.11637343]
0.05437887727482333,0.05006157142288032,0.15,[0.36851899]
0.05796249558272815,0.053374993613433785,0.15,[0.52569302]
0.061624548932726377,0.056690981564139,0.15,[0.58386786]
0.06549722699915561,0.060186140000116656,0.15,[0.55191678]
0.06961726718772615,0.06395635874873809,0.15,[0.43021419]
0.07343880581720898,0.06754065882693482,0.15,[0.28745165]
0.07696398006425723,0.07093853874836806,0.15,[0.13731022]
0.08049859801096419,0.07444081988391418,0.15,[-0.00491352]
0.08387795493795669,0.07786652951609895,0.15,[-0.08910893]
0.08731294783273473,0.0813799930543002,0.15,[-0.10044349]
0.09089759687094419,0.0850399592785166,0.15,[-0.07189694]
0.09439237600425021,0.08858616985926487,0.15,[-0.03672737]
0.09788930048788731,0.09211371608567727,0.15,[-0.01089993]
0.10146107114257731,0.09570150955659884,0.15,[0.00981389]
0.10489390317303215,0.09913709652786526,0.15,[0.02817711]
0.1083439361923199,0.10258039692676013,0.15,[0.03574825]
0.11194126546962416,0.10617053271167487,0.15,[0.02724559]
0.115436041396568,0.10966448327004916,0.15,[0.01815732]
0.11892836629068174,0.11316199398333819,0.15,[0.00912445]
0.12252642671464266,0.11677065063707509,0.15,[0.00308245]
0.12601984633966107,0.12027730272369103,0.15,[0.00039605]
0.12951380307331814,0.12378571677477952,0.15,[-0.00028793]
0.13311367533452584,0.12740073994323167,0.15,[-0.00016564]
0.136607098464355,0.13090893893264033,0.15,[2.17292886e-05]
0.1400969445760996,0.13441414731750312,0.15,[-0.00042151]
0.14366779081026124,0.13800194855950149,0.15,[-0.004959]
0.1471372156585767,0.14149083911292495,0.15,[-0.00839011]
0.15062798913182457,0.14500135275395806,0.15,[-0.00699613]
